Date,ASML,AMAT,LRCX,NVDA,AMD,INTC,AVGO,MRVL,MU,TSM,WDC,STX,ANET,CSCO,NOK,CIEN,EQIX,DLR,MSFT,AMZN,GOOGL,META,ORCL,IBM,PLTR,SNOW,DDOG,AI,QCOM,AAPL,TSLA,CRWV,NBIS,CEG,VST,ASX,USO,UNG,BNO,JJC,PPLT,PALL,GLD,SLV,DBA,WEAT,CORN,SOYB,COW,DBC,GSG,PDBC,^IXIC,^SOX,^GSPC,NASDAQ_dotcom,SP500_dotcom,SP500_gfc
2020-01-02,285.9008178710937,58.6265754699707,27.715728759765625,5.970754623413086,49.09999847412109,53.66646957397461,27.677490234375,26.63450813293457,54.02114486694336,53.62857055664063,48.747657775878906,48.67030334472656,12.795000076293944,40.25422286987305,3.4763076305389404,42.86000061035156,512.9212646484375,95.41393280029295,151.82958984375,94.90049743652344,67.8730239868164,208.14659118652344,49.14957809448242,98.72018432617188,,,36.70000076293945,,77.15101623535156,72.33387756347656,28.68400001525879,,,,19.90383529663086,4.199332237243652,102.4800033569336,65.87999725341797,20.96999931335449,14.523369789123535,9.234999656677246,36.88199996948242,143.9499969482422,16.809999465942383,14.560219764709473,29.299999237060547,14.899999618530272,15.869999885559082,45.84659957885742,13.896103858947754,16.290000915527344,8.430121421813965,9092.1904296875,1887.9100341796875,3257.85009765625,,,
2020-01-03,281.2935791015625,57.69345474243164,27.41800308227539,5.875187873840332,48.59999847412109,53.01371765136719,26.97351837158203,25.94383811950684,53.182403564453125,51.86000442504883,47.99735641479492,47.39120101928711,12.553125381469728,39.597450256347656,3.4224112033843994,41.869998931884766,518.0296630859375,96.9826202392578,149.93902587890625,93.74849700927734,67.51795959472656,207.04522705078125,48.97647857666016,97.93286895751952,,,37.41999816894531,,75.69831085205078,71.63065338134766,29.53400039672852,,,,20.112977981567383,4.085836887359619,105.44000244140624,65.55999755859375,21.729999542236328,14.336669921875,9.236000061035156,37.46599960327149,145.86000061035156,16.84000015258789,14.39255714416504,29.049999237060547,14.729999542236328,15.65999984741211,44.97999954223633,14.061429023742676,16.510000228881836,8.50104808807373,9020.76953125,1853.97998046875,3234.85009765625,,,
2020-01-06,279.0560302734375,56.44929122924805,26.906280517578125,5.8998236656188965,48.38999938964844,52.863765716552734,26.933162689208984,24.98079490661621,52.246131896972656,51.26154708862305,47.07618713378906,46.82807922363281,12.678750038146973,39.73877716064453,3.539186716079712,41.88999938964844,517.4630737304688,96.10931396484376,150.32655334472656,95.1439971923828,69.31758117675781,210.94461059570312,49.23158264160156,97.7579116821289,,,39.900001525878906,,75.25465393066406,72.201416015625,30.1026668548584,,,,19.77311515808105,3.964774608612061,105.27999877929688,66.36000061035156,21.68000030517578,14.384570121765137,9.067999839782717,38.172000885009766,147.38999938964844,16.940000534057617,14.427854537963867,28.950000762939453,14.68000030517578,15.710000038146973,45.45149993896485,14.08753490447998,16.510000228881836,8.511178970336914,9071.4697265625,1834.6800537109373,3246.280029296875,,,
2020-01-07,282.0867004394531,58.07991027832031,27.56221580505371,5.971253395080566,48.25,51.98167037963867,26.840444564819336,25.5352725982666,56.829986572265625,52.09225082397461,50.26313018798828,47.39120101928711,12.803125381469728,39.48106002807617,3.548169136047364,41.54999923706055,515.1614379882812,95.1632843017578,148.95590209960938,95.34300231933594,69.1836929321289,211.4010162353516,49.34090042114258,97.82352447509766,,,40.060001373291016,,77.39460754394531,71.8618392944336,31.270666122436523,,,,19.895118713378903,3.949641942977905,105.04000091552734,66.4800033569336,21.64999961853028,14.421669960021973,9.147000312805176,38.790000915527344,147.97000122070312,17.170000076293945,14.46315097808838,28.89999961853028,14.670000076293944,15.670000076293944,45.42770004272461,14.078832626342772,16.459999084472656,8.49598217010498,9068.580078125,1867.280029296875,3237.179931640625,,,
2020-01-08,285.01336669921875,58.04220199584961,27.909252166748047,5.98245096206665,47.83000183105469,52.01695251464844,26.50562858581543,25.340717315673828,56.09851837158203,52.47631454467773,50.99114990234375,47.761268615722656,12.936249732971191,39.50600051879883,3.611048221588135,42.27999877929688,516.8612670898438,95.98802947998048,151.32855224609375,94.59850311279295,69.6761245727539,213.5442352294922,49.53306579589844,98.63998413085938,,,39.95000076293945,,77.16844177246094,73.017822265625,32.80933380126953,,,,20.15654754638672,3.911810398101807,101.27999877929688,66.5199966430664,21.01000022888184,14.474129676818848,9.015999794006348,39.742000579833984,146.86000061035156,16.93000030517578,14.39255714416504,29.0,14.710000038146973,15.720000267028809,45.4296989440918,13.869999885559082,16.149999618530273,8.379460334777832,9129.240234375,1867.5899658203125,3253.050048828125,,,
2020-01-09,284.5318908691406,58.4097900390625,27.71944808959961,6.048154830932617,48.970001220703125,52.30804443359375,26.2927188873291,25.38935661315918,55.89371490478516,52.905067443847656,50.976295471191406,48.63813400268555,12.925000190734863,39.3397331237793,3.6020655632019043,42.09999847412109,521.4560546875,95.99612426757812,153.21908569335938,95.05249786376952,70.40760040283203,216.6002655029297,49.76183319091797,99.68244171142578,,,40.209999084472656,,78.2123031616211,74.56880950927734,32.089332580566406,,,,19.921260833740234,4.02530574798584,99.91999816894533,66.68000030517578,20.76000022888184,14.4399995803833,9.093999862670898,39.8120002746582,146.02999877929688,16.719999313354492,14.427854537963867,29.450000762939453,14.670000076293944,15.649999618530272,45.02999877929688,13.809088706970217,16.030000686645508,8.333864212036133,9203.4296875,1878.72998046875,3274.699951171875,,,
2020-01-10,279.62255859375,57.93852996826172,27.38543701171875,6.080508708953857,48.16999816894531,51.990501403808594,25.68832969665528,25.77846908569336,55.26951599121094,52.5745735168457,50.47113800048828,48.25198745727539,12.9662504196167,39.181766510009766,3.611048221588135,41.63999938964844,525.8916015625,97.33031463623048,152.5101318359375,94.15799713134766,70.86231994628906,216.3620758056641,49.82588958740234,99.64599609375,,,40.15999984741211,,78.51676177978516,74.73739624023438,31.87666702270508,,,,19.834115982055664,4.002606391906738,99.27999877929688,68.16000366210938,20.61000061035156,14.53166961669922,9.22700023651123,39.86000061035156,146.91000366210938,16.889999389648438,14.560219764709473,29.450000762939453,14.779999732971191,15.729999542236328,45.22999954223633,13.809088706970217,16.020000457763672,8.333864212036133,9178.8603515625,1866.3499755859373,3265.35009765625,,,
2020-01-13,284.5979309082031,58.25899124145508,27.65990447998047,6.271144866943359,48.75,52.563846588134766,25.85659408569336,26.770694732666016,56.03024673461914,53.64643096923828,51.35516357421875,49.06450271606445,13.196874618530272,39.88011169433594,3.646979093551636,42.38999938964844,526.7416381835938,98.62405395507812,154.343994140625,94.56500244140624,71.41129302978516,220.18212890625,49.94485092163086,99.58039093017578,,,40.93999862670898,,79.1343994140625,76.33409118652344,34.990665435791016,,,,19.633686065673828,4.05557107925415,97.5999984741211,67.76000213623047,20.39999961853028,14.73610019683838,9.19200038909912,40.09600067138672,145.82000732421875,16.780000686645508,14.471976280212402,29.299999237060547,14.850000381469728,15.630000114440918,44.8849983215332,13.704673767089844,15.859999656677246,8.283202171325684,9273.9296875,1890.7900390625,3288.1298828125,,,
2020-01-14,285.63641357421875,58.76796722412109,27.98275375366211,6.154175281524658,48.209999084472656,52.42272186279297,26.45755195617676,26.76096534729004,56.09851837158203,53.87866973876953,51.41458511352539,48.89556121826172,13.315625190734863,39.73046112060547,3.6020655632019043,42.060001373291016,519.2514038085938,97.6375732421875,153.25694274902344,93.47200012207033,70.94316101074219,217.3542938232422,50.2193717956543,99.01174926757812,,,39.27000045776367,,78.7777328491211,75.30333709716797,35.861331939697266,,,,19.755687713623047,4.070703983306885,98.23999786376952,67.4000015258789,20.459999084472656,14.79362964630127,9.272000312805176,40.87799835205078,145.69000244140625,16.6200008392334,14.551395416259766,29.549999237060547,14.859999656677246,15.670000076293944,45.25,13.765582084655762,15.949999809265137,8.308533668518066,9251.330078125,1894.6400146484373,3283.14990234375,,,
2020-01-15,283.3045959472656,58.37209701538086,27.757593154907227,6.111618518829346,48.54999923706055,51.990501403808594,26.02486038208008,25.99247360229492,54.78187561035156,52.1547737121582,49.52768707275391,48.6783447265625,13.336874961853027,39.913360595703125,3.646979093551636,42.36000061035156,519.021484375,97.83162689208984,154.2494354248047,93.10099792480467,71.37012481689453,219.42800903320312,50.10955047607422,99.594970703125,,,40.22999954223633,,78.00354766845703,74.9806137084961,34.56666564941406,,,,19.807971954345703,4.032871723175049,97.44000244140624,65.72000122070312,20.32999992370605,14.766469955444336,9.621999740600586,42.37799835205078,146.5399932861328,16.809999465942383,14.58669376373291,29.700000762939453,14.800000190734863,15.460000038146973,45.20000076293945,13.695971488952637,15.869999885559082,8.2730712890625,9258.7001953125,1872.1600341796875,3289.2900390625,,,
