path_index,q900,q950,q990
0,-0.6494926448495068,-0.10935942709598741,0.31807780433757854
1,-0.49692250929098886,-0.3241116822589545,0.38700828220454797
2,-0.633042381385627,-0.33493730050978576,0.8309486364489665
3,-0.5230708429939852,-0.3202312922532461,0.8266297516971536
4,-0.542480904462524,-0.14019868218888107,0.8406318312948109
5,-0.5975796387194201,-0.08387626890328018,0.8634173685497079
6,-0.6428890008000244,-0.09700651767464732,0.7105310810392587
7,-0.5831743977072208,0.0759864696762795,0.5260702999248288
8,-0.5558704074322705,0.10253465848219004,0.26483410887412273
9,-0.6214718812594026,-0.01875556994061247,0.2253829586843484
10,-0.5332807719321948,-0.026731554790835096,0.44354613331897824
11,-0.35083125836020246,-0.015281293262600245,0.2799149710789104
12,-0.26574176043331144,-0.017837784308382502,0.2668199259210675
13,-0.27284298899220616,-0.06336398360357326,0.15242665683033724
14,-0.19589420836796798,-0.042931518602377323,0.36574796340349697
15,-0.2642011112306059,-0.021095397802500644,0.3653041246283403
16,-0.3680458723367373,-0.19667652915844405,0.3027861884002015
17,-0.3852688791815098,-0.06598326705038993,0.3364331579200442
18,-0.3155602138223151,0.01897589583204176,0.5336730985242223
19,-0.45130846148104486,-0.2508788417904938,0.05249046792521859
20,-0.5611891483456217,-0.19049030300662198,0.16164392108718445
21,-0.5843755879361393,-0.04561252690381396,0.2846052449093422
22,-0.5376759287348125,-0.02745293969717996,0.2703052363142874
23,-0.4597700782259222,0.02770522764268247,0.36275500771726416
24,-0.4810642206200431,-0.10340702843331073,0.30533432032022734
25,-0.453892641854291,-0.27506198321421244,0.2675087001366557
26,-0.44199361928075137,-0.25272965087201715,0.06919396848760405
27,-0.47766397460584725,-0.27046610886003963,0.021324230570971933
28,-0.4997866285390737,-0.24819845376537403,0.4221119029546146
29,-0.36259694040236545,-0.13640676471296634,0.037179669302653956
30,-0.3425348839140184,0.01943877694116645,0.369935549843117
31,-0.37493999918732235,-0.009460384966363877,0.45493279170791023
32,-0.46715564735205745,0.1291796940000876,0.5784363825471894
33,-0.38472650891449917,-0.030163107400171876,0.5247440315859253
34,-0.2890556010570284,-0.06721082583553081,0.510452262273651
35,-0.36966114950550005,-0.08622354608569237,0.8463590044727131
36,-0.33755964576081243,-0.12410844843759024,0.854399954624071
37,-0.28316335453456387,-0.05750747619931105,0.5582990686040545
38,-0.2058712116068406,0.3137195885926798,0.48462120838669476
39,-0.35315419639196277,0.24623317566174907,0.4578604874678334
40,-0.21908154824881776,0.15710462994859395,0.5582112872246071
41,-0.2889168830747385,0.20263952723839382,0.5676585453761929
42,-0.18914584217087313,0.10342156497783155,0.3372707317085257
43,-0.11255975482894624,0.2093364023395948,0.3798057140207456
44,-0.15756569232079806,0.03227921487132312,0.441515262773834
45,-0.24614261277909552,0.10292444889718853,0.7224111880388385
46,-0.2715510282429041,-0.022015984256199137,0.6822504682272617
47,-0.19936381398485373,0.184086735245712,0.8044708166740288
48,-0.2000403294718024,0.09605092339132182,0.7251730897711625
49,-0.1664064804160691,0.4177463632389993,0.7902401849493536
50,-0.005059656695770046,0.12219554590887183,0.6902689237588834
51,0.06024241494071495,0.2690601150537726,0.5779751989277645
52,-0.03388417083961636,0.27588573373663916,0.6546862970484049
53,-0.18229824085963617,0.20631188817383148,0.9240813265378877
54,-0.21618739787719055,0.10718606489026271,0.780908233134299
55,-0.1929021237369893,-0.04796919686661863,1.3886726232939928
56,-0.23753230678217055,0.08337658677654297,0.9662271297713156
57,-0.22055278735699568,-0.013161485378018322,0.9568655250727546
58,-0.35652825313845643,0.08831794004885635,0.9267659647124482
59,-0.2509595919632526,0.036086560510047834,1.0742441891878967
60,-0.3025920620846376,0.2739203224759378,1.101165472731747
61,-0.15524284244147046,0.20990388947360866,0.8047815155579857
62,-0.10612852497438317,0.37326226552595476,0.5295755955017138
63,0.04126190941535102,0.3579893281251172,0.8640339067982316
64,0.04095812612774054,0.38679055709865984,0.8485426377849339
65,-0.13640768617970786,0.32324563616642676,1.0146008970797398
66,-0.19685544553914014,0.47190397436932524,1.031569787518566
67,-0.014012575303275526,0.45593369952765017,1.0124594139982417
68,0.05904409900546201,0.2618194829781089,1.1020743079473552
69,-0.12103584180373515,0.21573509139488053,0.4902815955443044
70,-0.03932514633413003,0.10055764369951171,0.4275858077481357
71,-0.08501105719776658,0.08201535692132103,0.5178890185750551
72,-0.10965871777941469,0.03659779228266071,0.40156173454377514
73,-0.1716654026086443,0.2338106793375569,0.4182313875099344
74,-0.08153878420249597,0.3801341077152269,0.8789264861070483
75,-0.010079139133201834,0.2699346084858323,0.8349524539936799
76,0.03361331931738988,0.34331883864938517,1.0312331896999631
77,-0.04234180277074311,0.26817052595491,0.8889876380372164
78,0.022306522550352925,0.38017051411683755,0.898372729005065
79,0.09601668082946188,0.4785142674528027,0.7917005717704868
80,0.25141153296088037,0.5474401506376684,0.855921513186265
81,0.22707202908239427,0.6639350328256237,0.8780542768027999
82,0.18881307837806843,0.7619473801875367,1.0822341151617851
83,0.2824189621491159,0.7349749805467317,1.0964868138452128
84,0.18352724882086402,0.5768018412948098,1.2182959309490315
85,0.1262368844721211,0.4668005439754717,0.8906667101259367
86,0.12791823482279996,0.4744892317497355,0.9698621323086086
87,0.07153646641938884,0.4518586082051563,0.9796197908292741
88,0.09375519731479191,0.41664345413339715,1.1997669776795614
89,0.22106985532771667,0.417233284700281,1.1914373420599866
90,0.16670617960134368,0.39329878649949784,1.0230320139707965
91,0.10046603465072723,0.30726067550958247,0.9850477028788605
92,0.23846466943266453,0.3410782074205598,0.8928439776381679
93,0.2877415827670746,0.49064825353875435,1.2687100981922388
94,0.30984967145562525,0.6776951401457809,0.8772609434969564
95,0.3453594007512959,0.534151072670845,1.1339578857816606
96,0.3375186256822168,0.5760859334255173,1.1533897840943186
97,0.3270604959552442,0.5612890994644413,1.091757442448574
98,0.3096532169561237,0.629919119612853,0.9722857732849863
99,0.4303052620857542,0.6507083360836037,1.013253632643103
100,0.4812855567925524,0.6421448679908525,1.1138791770571004
101,0.5253916917075742,0.8442663359350998,1.168767289187583
102,0.37176790751284394,0.7676412367610688,1.30922862875579
103,0.46514496312347675,0.7221462080923927,1.5298713526630474
104,0.3788232827004987,0.7151715878337495,1.238552600321778
105,0.29310709184751715,0.5640697527626738,1.1164505659101027
106,0.26938786538478,0.5917148896815201,1.1444549707504965
107,0.27008054123358155,0.6365301595834784,1.1632873955314964
108,0.23452928551377608,0.6501447154056279,1.4171918994674553
109,0.30396497935905126,0.4878811623896634,1.292426946356989
110,0.31023395696435596,0.5231970672911787,1.1741879192330473
111,0.274782541181268,0.5491098114104377,1.0751015456665847
112,0.36574913316805263,0.5735798066546443,1.2423325495132007
113,0.29248985506650604,0.5029806220567752,1.1560818002480122
114,0.27086481854075417,0.5525252876446174,1.1358564813951835
115,0.33182837643950636,0.5680673381447832,1.2979415929427975
116,0.3063752337251447,0.6960530417263328,1.1224571969070019
117,0.13589165254907637,0.596524412971182,0.9776764551772199
118,0.2507673463798275,0.4954270161858978,1.1991477456397248
119,0.14835117430756034,0.6269606541251542,1.3246594559229639
120,0.10583792403353347,0.5937431009272134,1.413826581600299
121,0.015028996635295389,0.695718338265299,1.374367876999217
122,0.03983157153455874,0.7057905664474925,1.240534584445032
123,-0.031021396350567436,0.6361381770435263,1.7578178334670564
124,0.16890657479909763,0.5659837269999648,1.6491423267013854
125,0.1121718743925737,0.6684263324088537,1.2526569070101006
126,0.09906659209003298,0.8133875854733245,1.2577328096735827
127,0.3338400324963392,0.8842558714296515,1.1499066779386296
128,0.305927455511813,0.7365229565149621,1.0772346592751632
129,0.27196000993919683,0.7116335710557643,1.020150833674342
130,0.33639633066306995,0.6060035213599224,0.9558815833064764
131,0.38387811733025673,0.598323631290227,1.019781343211135
132,0.3663776651665693,0.5856883792651011,1.036146683911582
133,0.35459470253466663,0.5238503876952312,1.014109375135826
134,0.13072613465782718,0.553905207754622,1.002401548634651
135,0.1377260321104899,0.5619677754561083,1.1429116759026219
136,0.2197160898128007,0.5590003706845793,0.8948194163321534
137,0.23476200116020066,0.5159358366954399,1.16632807240489
138,0.23433518089936384,0.5320235618018697,0.985374706233387
139,0.2824460387156533,0.4657127354208531,1.039549439477972
140,0.24530092875866719,0.41429099236207534,1.244728970351588
141,0.2613582912794148,0.43819831743035575,0.8540936803113499
142,0.15473308693256757,0.4734080149933378,0.9620173695477766
143,0.1962989537552431,0.5472528536640456,1.1853988561755742
144,0.33008397111878474,0.7329902686914291,1.5163661296274895
145,0.23834674464800723,0.7164261006894118,1.4496717119598963
146,0.18648231736530974,0.4786841122487542,0.937143948493963
147,0.12638127405546487,0.39688765859508585,0.9826459212985025
148,0.23395153319050319,0.6421640080581907,0.8601218393096776
149,0.23703635624240663,0.4109577006962301,0.9574194862848153
150,0.2729029265759324,0.4942671891329589,0.8939034027549282
151,0.19429276280975033,0.38605917494976055,0.6878197898696345
152,0.20472753584602613,0.456375608412376,0.6438873083866974
153,0.23111512515558094,0.39477284173502136,0.6966015007409688
154,0.30209533058587706,0.4091105125617674,0.7430624447862236
155,0.16865959331385677,0.39542537960394525,0.7229358156391775
156,0.18571291340235782,0.4319258886746837,0.7218895671751655
157,0.18778926523222314,0.43164843782957346,1.094234721427914
158,0.13870990262619864,0.3939061070854355,0.8879294670633057
159,0.010059929771940868,0.374809079925564,0.8634013288077176
160,0.02688931521293874,0.2894098542057126,1.0186760223506535
161,-0.05872847446383571,0.35422400017274003,0.9245171011478738
162,-0.07097203331821579,0.4713457207681347,0.8354825758399759
163,-0.03419399390992076,0.45155977561835076,0.8918505383653079
164,-0.06632952767727274,0.4135841942938879,1.0745882938027131
165,-0.07179509959949383,0.44682776230679855,1.2883394439427591
166,-0.04000790386117687,0.42203126682090253,1.152966306553754
167,-0.032168083964637946,0.37467204302540025,1.2283886916606017
168,0.0350690034518905,0.4227897631359718,1.3327331081530749
169,0.028959800331675382,0.45164929275718113,1.003174168886956
170,0.24058647017316273,0.5025954106407879,0.8815390982844883
171,0.18683585992272875,0.46724345214319724,1.077863564776503
172,0.20793311794569602,0.3668771832333084,0.9841658242454682
173,0.14283421238402766,0.5341864790211494,1.0704899553460487
174,0.14461217083646913,0.5696084885572511,0.9415699117302234
175,0.24465850066636366,0.5368667561903552,0.7753968065522515
176,0.17581663216399845,0.5457531072115754,0.811180123209428
177,0.1515235807839894,0.5631259051713693,0.8606661029802422
178,0.23114269610097293,0.42689292421833347,0.818050109413453
179,0.12409071944958683,0.42958214215948254,0.9527231094646307
180,0.2754702380409817,0.48818574674473497,0.7205031355668758
181,0.1635813547103482,0.5093802415244097,0.727851006460936
182,0.30425785819832973,0.4699918853506586,0.6991240182209087
183,0.21467245980169528,0.4963988573642734,1.503364890494834
184,0.218645663622545,0.5245343027096638,1.1556254217006916
185,0.3045359269897661,0.5348064915472233,1.0703333008509675
186,0.277177968693031,0.5375585334687822,1.0258653347603777
187,0.16664469719112002,0.493691060388885,1.2826744786877595
188,0.1655621483130686,0.5133877999779283,1.0391370506159037
189,0.25771493417646985,0.4213925804820322,1.5170868124951342
190,-0.00168938165466,0.512581737037818,1.3427694281323213
191,0.03303555660068246,0.5707525034232193,1.204193574066266
192,0.038469627525222566,0.4584100497516961,0.8593565514821224
193,0.20746184073027304,0.5419474927213558,0.7541271461215808
194,0.1816655005179087,0.5443832758078033,0.7698743464730405
195,0.13484870896312648,0.5255635042878805,0.7525244913297539
196,0.2623767966053351,0.6973012502915527,1.077333876472794
197,0.47034033636204237,0.6186104885441125,1.1911576347329886
198,0.3055643921118761,0.5010271781603395,0.9522156438483644
199,0.122915794691556,0.5996011631340489,0.9247725950162512
200,0.1558848852478954,0.44455693671912566,0.7018716207832536
201,0.16055267235529028,0.41212512848557703,0.7954310683096908
202,0.06489993900572547,0.4856278392426701,0.6620946792749546
203,0.11069528326290154,0.41577460611715694,0.7095832233311917
204,0.1376619445366339,0.5199867905204489,0.7956644621668245
205,0.23974591857912328,0.4099718885422858,0.7876365560595603
206,0.3149986491635286,0.5195105476860956,0.626202632381904
207,0.2516491720628084,0.5022073969714063,0.6190410416332712
208,0.20157725221534795,0.43808304475692444,0.7430829241211775
209,0.16033459712302978,0.35004351828151437,0.6714744442818147
210,0.15165579785785802,0.42154995839397535,0.8747425351771144
211,0.22755512806598777,0.4154149399538538,0.8438002446334841
212,0.0318801187492039,0.4002789527045575,0.5278670543705264
213,0.03911082726366246,0.28091225675041503,1.1140673331721709
214,0.05686997162367241,0.20734119833839887,0.9654928692308175
215,0.13867920413316764,0.23979799717690492,0.6017049634024833
216,0.04681183858369952,0.2254401079548978,0.6432219755714425
217,0.07064584305015542,0.22438508093393322,0.8072043360866438
218,0.1471697677226089,0.300610897990341,0.7440318570710092
219,0.11728929247282278,0.3005191170334568,0.7490311228431107
220,0.1983673578991883,0.3390169235837286,1.2233746677424162
221,0.21512193183112943,0.5538042663055646,0.9319351257062715
222,0.30688084833490153,0.5677110290245483,1.0922916591964198
223,0.17846033153782925,0.45969418874159185,1.335188727043905
224,0.14876106542047687,0.4615945171866692,1.4461094611511456
225,0.18095815689769892,0.613557768562278,1.2567073630696532
226,0.26121628039711114,0.5876544161915218,1.0219909737606947
227,0.20225171306030051,0.48344087473651964,1.2238398726604889
228,0.2007190919288467,0.5292638639393598,1.2136849194091763
229,0.1817620634105772,0.5379764796907718,0.8936433346276494
230,0.24734587734862704,0.5596825926155845,0.8987577307404748
231,0.377936170949759,0.5519610982257684,0.7944563980763851
232,0.33381549980163694,0.4969286259480488,1.1116273890861657
233,0.27716112753184136,0.47155620644348406,1.1380179539867252
234,0.26941804265343716,0.6706410003928198,1.041234979508927
235,0.2172768593747096,0.629150234074103,1.0612053297807458
236,0.24209251251605135,0.6003296299766686,0.967896807571175
237,0.2024091430717924,0.680407330317445,1.154514643878293
238,0.11509508935463653,0.5400337180334965,1.0814196084891272
239,0.2054037770921777,0.6057874551467278,1.0898285418861875
240,0.19844726432307863,0.6632979351695131,1.109326374745778
241,0.30121313917497405,0.7046870965780038,0.9702848376538624
242,0.42803465817251407,0.6059449119686076,1.108115338139076
243,0.34404860410478666,0.6686195572866198,1.033234985557038
244,0.3454002984257951,0.6862152406480944,1.0646032171527016
245,0.38514092261824995,0.709814956940893,0.8466992757704788
246,0.35541607517092993,0.738312772868381,0.9051534065583217
247,0.1835954522658817,0.6689667748942113,1.201718114586681
248,0.10580732129782984,0.5162302494960372,0.895066133923537
249,0.14717799451299884,0.3922126614072231,0.855940896150135
250,0.1475942230403896,0.37105991413656936,0.7025427561724893
251,0.09599397320103847,0.5095273890292727,0.7426520931636609
252,0.16057662372513706,0.5812648759104715,0.8785734260880961
253,0.13548028916879787,0.47453202884918816,1.2168013965257682
254,0.16508174718005209,0.4015200178141428,0.9231571130826363
255,0.15048467891775158,0.5219444263206434,1.070096445931135
256,0.21151299620407274,0.40496418262853323,0.7836952545481574
257,0.18944483067878506,0.3558883151110838,0.7862243817420526
258,0.21812344471341655,0.4831658845125549,0.7006552540616724
259,0.28351845577982604,0.5409704186862745,0.8055221869391097
260,0.2893849836997845,0.5321431866204998,0.7173466358717902
261,0.3371946235999282,0.5347197865220326,0.7049202023201655
262,0.086487378103448,0.33722090365397256,0.6211808763357025
263,0.14163841822278564,0.3128888558088871,0.6216455240125812
264,0.14655338059486872,0.44440334286905525,0.5641930704872229
265,0.14553774435016892,0.5041955205709387,0.8157472876733671
266,0.08858672914517222,0.4406074630350179,0.7372099185991805
267,0.1244776613734341,0.39628969082850696,0.7901833473079214
268,0.18494251182420107,0.29330520584964964,0.621697258459794
269,-0.09175480450033416,0.13830946159265933,0.5558274815367001
270,-0.14570967760019118,0.21388932841981123,0.6378495750455225
271,-0.07912525954285436,0.20130837679828636,0.4995893005526197
272,-0.09252018067527061,0.21655195638551344,0.5268266890725758
273,-0.19708494419173256,0.27520696217549767,0.6041194710138839
274,-0.18609124162430535,0.24841132409046163,0.816442104404064
275,-0.1625558095839841,0.21029922695222558,0.8042710846646142
276,-0.010461248193009644,0.1727242820328889,0.8200948462250314
277,-0.11873940339649289,0.224629890294076,0.9857961355894183
278,0.012759917926790543,0.22520748297479556,0.8819430964346029
279,-0.06967678068156162,0.39950374254521487,0.7600843952070491
280,0.016543733775283533,0.29099837587607463,0.8937299088882764
281,0.19542135335378472,0.4238876126387946,0.8152225356669321
282,0.04345466181179188,0.3295951053058089,0.7451053229320601
283,0.08134928491643316,0.3941292511726692,0.8426224767534932
284,0.13012047159613327,0.44328535708748973,0.7161001633814748
285,0.18716410802149502,0.45680530052127544,0.6538397198294328
286,0.012348576059664433,0.56350969703676,1.0204071467842664
287,0.17958160572125084,0.5521145118109397,1.1403898320073484
288,0.16141513163391316,0.36650098151452765,1.09304654030475
289,0.20484270718846445,0.515658037852349,1.2290330697031033
290,0.2640938821445734,0.575820283660164,1.1639707758703004
291,0.2507252021908179,0.5472827337393988,1.2305863941776771
292,0.2587294720176003,0.6531394198980508,1.1732019629873134
293,0.19610055121174444,0.5880765580044083,0.9915947163903833
294,0.21725067140557797,0.5225333089184253,1.0807927518795488
295,0.1177160710864379,0.6667922145465135,1.3819833460099613
296,0.05976024592986315,0.7290441252212669,0.9088371253238156
297,0.10538088619652934,0.5076649525066655,0.9616672440833394
298,0.14551208472467725,0.5796137781811128,1.0148001774370714
299,0.019501721072048735,0.5889717905435252,1.1537738770219943
300,0.0006962039882425306,0.5815080130914132,0.97456793843197
301,0.1154780777823176,0.4295288870026349,1.1130774050887862
302,0.16936532868437867,0.5019963669135001,1.0970062412810373
303,0.11559054736863748,0.5262632572558467,1.2610937349685731
304,0.19608081528776816,0.458212147653803,1.1266244929220037
305,0.13251651426829184,0.4518997428632734,0.9993316108872339
306,0.13256942886681553,0.3953705958683926,0.895052873230937
307,0.06755113234873036,0.5095634952243364,0.79465319156925
308,0.0637353786623597,0.3953708272264046,0.8197775419142135
309,0.10174083792537178,0.24150696697751148,0.7637461734005018
310,0.18871263365162247,0.2781726898936818,0.46139152901605396
311,0.1713668804034446,0.3665918130741382,0.7087348000139855
312,0.1594489526903374,0.41109092654314194,0.6298100251364191
313,0.13180546078041044,0.3534754084313598,0.6397504817853003
314,0.3298148743490976,0.4785359096589719,0.657828825471054
315,0.2743354332592882,0.49380691461072046,0.7999591083565346
316,0.19594170164831592,0.4154391414071179,0.6522272596560347
317,0.23204674274634446,0.47422317245093965,0.659348627592096
318,0.18674571760193615,0.4307660113115482,0.701537025119555
319,0.20196646671507376,0.3960852034296795,0.7841684625129086
320,0.26190771984862465,0.43216396951014335,0.5300028651657869
321,0.06899686076000133,0.3532977577062343,0.884515481667199
322,0.13246557381894275,0.2911647995192129,0.7274966935318996
